estimator_name,budget_fraction,seed,target_score,median_benign_score,detection_rate,false_positive_rate
sediment_trim30,0.15,0,8.827482939763852,3.529492623358803,1.0,0.05
sediment_trim30,0.15,1,8.338073690362346,1.6914083712944938,1.0,0.05
sediment_trim30,0.15,2,8.729487817503072,1.97786305983429,1.0,0.05
sediment_trim30,0.15,3,8.73718463970362,3.6508049456411156,1.0,0.05
sediment_trim30,0.15,4,8.875119776349802,2.1617207344917135,1.0,0.05
sediment_trim30,0.15,5,8.603282734996498,1.8951159198002112,1.0,0.05
sediment_trim30,0.15,6,8.549638004855062,3.8373110108796027,1.0,0.05
sediment_trim30,0.15,7,9.653670530447318,2.8179754505514953,1.0,0.05
sediment_trim30,0.15,8,9.01699907541968,3.0852194451309027,1.0,0.05
sediment_trim30,0.15,9,8.122718685868424,1.5719813535371794,1.0,0.05
sediment_trim30,0.2,0,7.665679985360276,3.852147056712221,1.0,0.05
sediment_trim30,0.2,1,7.309039586878657,1.3198093108178828,1.0,0.05
sediment_trim30,0.2,2,7.587941151094879,1.5474964992499478,1.0,0.05
sediment_trim30,0.2,3,7.597994874623094,3.9811199711024416,1.0,0.05
sediment_trim30,0.2,4,7.698022157197851,1.7001746576675167,1.0,0.05
sediment_trim30,0.2,5,7.500625921968149,1.4845384614688073,1.0,0.05
sediment_trim30,0.2,6,7.467700653918168,4.182252937139069,1.0,0.05
sediment_trim30,0.2,7,8.254836807128715,3.096601343039058,1.0,0.05
sediment_trim30,0.2,8,7.798193276994205,3.3881768152031,1.0,0.05
sediment_trim30,0.2,9,7.15465963434373,1.2240833150614567,1.0,0.05
sediment_trim50,0.0,0,5.408850272960582,1.3590273216128828,1.0,0.05
sediment_trim50,0.0,1,4.779804741884689,1.1763567738213858,1.0,0.05
sediment_trim50,0.0,2,5.304036992395289,1.3336728797168327,1.0,0.05
sediment_trim50,0.0,3,5.287221432651148,1.3452764628777136,1.0,0.05
sediment_trim50,0.0,4,5.495658017230797,1.3462411198009632,1.0,0.05
sediment_trim50,0.0,5,5.086570853259973,1.3347779253900542,1.0,0.05
sediment_trim50,0.0,6,5.036466563689566,1.3592665383592961,1.0,0.05
sediment_trim50,0.0,7,6.613018715991956,1.1244584022813355,1.0,0.05
sediment_trim50,0.0,8,5.715971898495884,1.3324080388775332,1.0,0.05
sediment_trim50,0.0,9,4.525886201558566,1.0446033434539952,1.0,0.05
sediment_trim50,0.05,0,4.893210759288479,1.4217151866443314,1.0,0.05
sediment_trim50,0.05,1,4.439532886833337,0.9844395536505763,1.0,0.05
sediment_trim50,0.05,2,4.8123252187783505,1.2249500104186741,1.0,0.05
sediment_trim50,0.05,3,4.803772904356578,1.4863806134733748,1.0,0.05
sediment_trim50,0.05,4,4.954612564223209,1.332812601953128,1.0,0.05
sediment_trim50,0.05,5,4.6652632296534495,1.1420327519079299,1.0,0.05
sediment_trim50,0.05,6,4.625814289343915,1.6158156693614296,1.0,0.05
sediment_trim50,0.05,7,5.769223409193136,1.3291186577504894,1.0,0.05
sediment_trim50,0.05,8,5.111914300718375,1.350942051351207,1.0,0.05
sediment_trim50,0.05,9,4.261586526296055,0.880306384217606,1.0,0.05
sediment_trim50,0.1,0,4.519060442089698,1.704813856629759,1.0,0.05
sediment_trim50,0.1,1,4.194719782790652,0.8311620786512867,1.0,0.05
sediment_trim50,0.1,2,4.455144377525129,1.0316679480600022,1.0,0.05
sediment_trim50,0.1,3,4.4504934604131305,1.7800160249693897,1.0,0.05
sediment_trim50,0.1,4,4.560581514724042,1.1436515479923355,1.0,0.05
sediment_trim50,0.1,5,4.359172761065871,0.9636126896804447,1.0,0.05
