estimator_name,budget_fraction,seed,target_score,median_benign_score,detection_rate,false_positive_rate
naive,0.2,1,29.18137615903365,3.50834555736278,1.0,0.05
naive,0.2,2,29.291906765020116,3.8548482378306526,1.0,0.05
naive,0.2,3,29.143886645146267,3.8388840133295066,1.0,0.05
naive,0.2,4,29.440393933319328,3.526215430824201,1.0,0.05
naive,0.2,5,29.056798756598255,3.471642763707239,1.0,0.05
naive,0.2,6,29.34205934185038,3.5491324015091403,1.0,0.05
naive,0.2,7,29.018102117293907,3.4077287135569385,1.0,0.05
naive,0.2,8,29.427710130776923,3.6380145439925853,1.0,0.05
naive,0.2,9,29.114023410383737,3.3033253663428908,1.0,0.05
naive,0.25,0,24.43288431846051,3.5919035881007066,1.0,0.05
naive,0.25,1,24.442705880399448,3.6695287867840287,1.0,0.05
naive,0.25,2,24.522995076948035,4.004272190847205,1.0,0.05
naive,0.25,3,24.414768418869997,3.9394071819458167,1.0,0.05
naive,0.25,4,24.63148767790124,3.6501608138765045,1.0,0.05
naive,0.25,5,24.351406362811154,3.57126041426734,1.0,0.05
naive,0.25,6,24.56060291536592,3.660413913557912,1.0,0.05
naive,0.25,7,24.32330470761147,3.585212046312276,1.0,0.05
naive,0.25,8,24.622955000041387,3.7517842175581695,1.0,0.05
naive,0.25,9,24.393715351803884,3.430831578732862,1.0,0.05
sediment_trim10,0.0,0,129.69190869967224,7.324722136267797,1.0,0.05
sediment_trim10,0.0,1,128.33142622067245,7.373043804917232,1.0,0.05
sediment_trim10,0.0,2,131.06629153488254,7.8663974916967785,1.0,0.05
sediment_trim10,0.0,3,130.10178786205148,7.841856820339903,1.0,0.05
sediment_trim10,0.0,4,132.09066443805085,7.327008420049619,1.0,0.05
sediment_trim10,0.0,5,128.81942714334815,7.351604321450763,1.0,0.05
sediment_trim10,0.0,6,130.4180990401182,7.2369290457388935,1.0,0.05
sediment_trim10,0.0,7,127.75597957419913,7.153187048765902,1.0,0.05
sediment_trim10,0.0,8,133.18252984462163,7.440594096602503,1.0,0.05
sediment_trim10,0.0,9,130.42527588556567,7.536283416851049,1.0,0.05
sediment_trim10,0.05,0,98.87961352260973,5.897538354367861,1.0,0.05
sediment_trim10,0.05,1,96.93684203836057,5.888967501567625,1.0,0.05
sediment_trim10,0.05,2,98.35181651716422,6.292386005331148,1.0,0.05
sediment_trim10,0.05,3,97.69449769337066,6.397415880844154,1.0,0.05
sediment_trim10,0.05,4,101.18399954954383,6.083302937400472,1.0,0.05
sediment_trim10,0.05,5,96.99568444287591,5.908611146767216,1.0,0.05
sediment_trim10,0.05,6,99.24504474899935,5.957951080044868,1.0,0.05
sediment_trim10,0.05,7,95.16905198644088,5.699452361509266,1.0,0.05
sediment_trim10,0.05,8,100.95471491540195,6.092116193981118,1.0,0.05
sediment_trim10,0.05,9,96.96839199091289,5.972051603531009,1.0,0.05
sediment_trim10,0.1,0,49.650900710886575,3.52184976294583,1.0,0.05
sediment_trim10,0.1,1,49.1334531730809,3.6290221071705893,1.0,0.05
sediment_trim10,0.1,2,49.375668626410615,3.7722855640749895,1.0,0.05
sediment_trim10,0.1,3,49.19283350534013,3.9391232194093866,1.0,0.05
sediment_trim10,0.1,4,50.233717930534624,3.552373797371146,1.0,0.05
sediment_trim10,0.1,5,49.1358808925187,3.519076387252794,1.0,0.05
sediment_trim10,0.1,6,49.77699983765168,3.5172248793717156,1.0,0.05
sediment_trim10,0.1,7,48.58511251630463,3.430668441515788,1.0,0.05
sediment_trim10,0.1,8,50.295977049494,3.555095355340824,1.0,0.05
sediment_trim10,0.1,9,49.15323979121973,3.4112278841317965,1.0,0.05
sediment_trim10,0.15,0,32.37254990949619,2.828960105848562,1.0,0.05
sediment_trim10,0.15,1,32.140394519828284,2.9190291115973843,1.0,0.05
sediment_trim10,0.15,2,32.23811927606765,3.06058636980932,1.0,0.05
sediment_trim10,0.15,3,32.1602653746894,3.1346411913033396,1.0,0.05
sediment_trim10,0.15,4,32.61951597316657,2.9076347177521162,1.0,0.05
sediment_trim10,0.15,5,32.13290709173338,2.884970919169974,1.0,0.05
sediment_trim10,0.15,6,32.43208649923611,2.9066046346517593,1.0,0.05
sediment_trim10,0.15,7,31.893505866147805,2.805309047940768,1.0,0.05
sediment_trim10,0.15,8,32.6603317855847,2.9628389173786642,1.0,0.05
sediment_trim10,0.15,9,32.15192590062462,2.7309417848645716,1.0,0.05
sediment_trim10,0.2,0,23.99369134680648,2.655960442088822,1.0,0.05
sediment_trim10,0.2,1,23.860429899287652,2.6993557324833506,1.0,0.05
sediment_trim10,0.2,2,23.91165838148448,2.93137117520513,1.0,0.05
sediment_trim10,0.2,3,23.868834331512502,2.9668264806943903,1.0,0.05
sediment_trim10,0.2,4,24.131095285077272,2.705213790613983,1.0,0.05
sediment_trim10,0.2,5,23.8532541020061,2.6852629355620046,1.0,0.05
sediment_trim10,0.2,6,24.028789875006662,2.7480726967156883,1.0,0.05
sediment_trim10,0.2,7,23.717858147073702,2.6031205164931412,1.0,0.05
sediment_trim10,0.2,8,24.158333107674718,2.8047329455841408,1.0,0.05
sediment_trim10,0.2,9,23.86677657785753,2.560378600781948,1.0,0.05
