estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
naive,0.3,2,1.0,0.05,7.532718291282718,21.089978951455286,4.2284038013946565,21.104330959218167
naive,0.3,3,1.0,0.05,7.781153063630508,21.006645213840756,4.106679293800072,21.013684741033785
naive,0.3,4,1.0,0.05,7.375460874978534,21.173476998413573,3.8585880378205033,21.228654437835253
naive,0.3,5,1.0,0.05,7.705042258098931,20.958028904508698,3.8020158335537326,21.022685585573665
naive,0.3,6,1.0,0.05,7.109596903407251,21.119454783107443,3.8225585659490444,21.098217572323716
naive,0.3,7,1.0,0.05,7.608471682261954,20.93649920390559,3.8082140051475895,20.92640681090315
naive,0.3,8,1.0,0.05,7.4314080097355335,21.167314987345627,3.9186156412106428,21.226133120062926
naive,0.3,9,1.0,0.05,7.204631710206748,20.990866193959675,3.6534238537632078,21.069508097369695
consensus,0.0,0,1.0,0.05,15.036797414456878,130.10496311389392,7.398533932552077,130.2855621890425
consensus,0.0,1,1.0,0.05,15.405458751527023,130.44288337865999,7.513558976606023,130.40113159003798
consensus,0.0,2,1.0,0.05,16.63508815312249,132.51728417092497,7.973944054488765,132.56063627465647
consensus,0.0,3,1.0,0.05,16.227778565686002,130.0787514004185,7.8354125913021155,130.08852785571742
consensus,0.0,4,1.0,0.05,15.390243381243916,135.02018936474292,7.493218791610778,135.2784744440783
consensus,0.0,5,1.0,0.05,15.483928288616344,128.47187017442934,7.345113859692393,128.64433655061015
consensus,0.0,6,1.0,0.05,15.712694445975735,132.86434758836563,7.361338112362507,132.7131268903552
consensus,0.0,7,1.0,0.05,17.099924317059664,127.76299716746091,7.103433878666017,127.71511173077552
consensus,0.0,8,1.0,0.05,16.452464626507783,134.4157947493743,7.428513151771146,134.64584898882282
consensus,0.0,9,1.0,0.05,15.513420535327965,129.18644623592826,7.436165318411694,129.4909044048855
consensus,0.02,0,1.0,0.05,11.498335639716826,96.61021290952301,5.677799555745833,96.72679293548391
consensus,0.02,1,1.0,0.05,12.056185233465264,96.77799919340492,5.810912654743065,96.73905893539234
consensus,0.02,2,1.0,0.05,13.407882042542324,97.89952353601232,6.146320612371875,97.94910327820986
consensus,0.02,3,1.0,0.05,12.725350655770676,96.52536300066271,6.096386018938389,96.54894027484679
consensus,0.02,4,1.0,0.05,11.927133837880305,99.2965770536807,5.849497986190933,99.51376396500049
consensus,0.02,5,1.0,0.05,12.220146428645814,95.65475571801323,5.704828557036124,95.81331461834642
consensus,0.02,6,1.0,0.05,12.31631937677,98.18816911771788,5.77738096887932,98.07506646966917
consensus,0.02,7,1.0,0.05,13.09063373210998,95.26621581042211,5.57614051273183,95.2233008609095
consensus,0.02,8,1.0,0.05,12.712401283487532,99.03496065881089,5.863483014548996,99.21371621115355
consensus,0.02,9,1.0,0.05,12.007033729545636,96.10047420649778,5.801622654836556,96.34248597999508
consensus,0.05,0,1.0,0.05,8.771904945845165,69.71815981661143,4.4403551528654335,69.80989880134648
