estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
naive,0.3,2,1.0,0.05,8.305639934120544,15.54757023617956,4.844440009598896,15.559371190226202
naive,0.3,3,1.0,0.05,8.561970429663182,15.424801392916505,4.77893808451446,15.428529560655535
naive,0.3,4,1.0,0.05,8.424740700612272,15.588111001187917,4.701146779550405,15.635946152594844
naive,0.3,5,1.0,0.05,8.401036339672508,15.451672453015895,4.511407030585296,15.505431424088993
naive,0.3,6,1.0,0.05,7.96248728068595,15.497096590416392,4.435449495804372,15.48266954124862
naive,0.3,7,1.0,0.05,8.362419891406157,15.429881782226897,4.49398889395445,15.423124990305666
naive,0.3,8,1.0,0.05,8.249149694078508,15.599862638835502,4.618419392612998,15.648355797084372
naive,0.3,9,1.0,0.05,8.059603901844216,15.541959742817113,4.3975016416630766,15.607506027406597
consensus,0.0,0,1.0,0.05,15.036797414456878,130.10496311389392,7.398533932552077,130.2855621890425
consensus,0.0,1,1.0,0.05,15.405458751527023,130.44288337865999,7.513558976606023,130.40113159003798
consensus,0.0,2,1.0,0.05,16.63508815312249,132.51728417092497,7.973944054488765,132.56063627465647
consensus,0.0,3,1.0,0.05,16.227778565686002,130.0787514004185,7.8354125913021155,130.08852785571742
consensus,0.0,4,1.0,0.05,15.390243381243916,135.02018936474292,7.493218791610778,135.2784744440783
consensus,0.0,5,1.0,0.05,15.483928288616344,128.47187017442934,7.345113859692393,128.64433655061015
consensus,0.0,6,1.0,0.05,15.712694445975735,132.86434758836563,7.361338112362507,132.7131268903552
consensus,0.0,7,1.0,0.05,17.099924317059664,127.76299716746091,7.103433878666017,127.71511173077552
consensus,0.0,8,1.0,0.05,16.452464626507783,134.4157947493743,7.428513151771146,134.64584898882282
consensus,0.0,9,1.0,0.05,15.513420535327965,129.18644623592826,7.436165318411694,129.4909044048855
consensus,0.02,0,1.0,0.05,11.541281903251715,96.43132245942148,5.677157468696784,96.55476218706772
consensus,0.02,1,1.0,0.05,12.035323271691466,96.33879339059963,5.792192813267298,96.30759880157532
consensus,0.02,2,1.0,0.05,13.211922147587632,97.17922771464748,6.097615853029,97.23277456663338
consensus,0.02,3,1.0,0.05,12.576749431885474,95.67038930467098,6.045183850701349,95.69737538873758
consensus,0.02,4,1.0,0.05,11.859938061193787,98.704564473294,5.818396340736644,98.9123158560044
consensus,0.02,5,1.0,0.05,12.161944589767256,95.48943972000377,5.667376375023644,95.6527922637363
consensus,0.02,6,1.0,0.05,12.174339104236008,97.41037512000119,5.736435045817335,97.30911750002618
consensus,0.02,7,1.0,0.05,13.036698166270352,94.66756835302257,5.535921841081109,94.63171199799116
consensus,0.02,8,1.0,0.05,12.709247920176336,98.68548061657108,5.834124586463378,98.87012122408477
consensus,0.02,9,1.0,0.05,11.939440763030516,95.89184018467022,5.763353361829318,96.12888444129246
consensus,0.05,0,1.0,0.05,8.676662026176055,68.37444642654586,4.373844433410249,68.47856784015647
consensus,0.05,1,1.0,0.05,9.424860083472355,68.29649162950909,4.598698256868382,68.26357616709107
consensus,0.05,2,1.0,0.05,10.029692046771011,68.81531635608333,4.7817280060075245,68.85873494842276
consensus,0.05,3,1.0,0.05,9.574668545015147,68.02587820227376,4.904673304994768,68.02117993945922
consensus,0.05,4,1.0,0.05,9.495726638098489,69.26670549857556,4.53544117028016,69.44631485203766
consensus,0.05,5,1.0,0.05,9.44659779836955,67.4450343454892,4.428201833028891,67.58473762794503
consensus,0.05,6,1.0,0.05,9.331055793077653,68.58767603039213,4.438835643780402,68.5023931448021
consensus,0.05,7,1.0,0.05,9.960464510021408,67.12722692568062,4.31366232164058,67.09811188639647
consensus,0.05,8,1.0,0.05,9.861603098447256,69.42801490984236,4.514154410592166,69.56508994200125
consensus,0.05,9,1.0,0.05,9.372780345037892,67.78650597382823,4.417067164947177,67.97336619173103
consensus,0.08,0,1.0,0.05,7.563954997389397,52.08561204913344,3.776901834419359,52.168173508794155
consensus,0.08,1,1.0,0.05,8.06549033662424,52.071335338976965,3.928269067125581,52.04876251008415
consensus,0.08,2,1.0,0.05,8.77029125630461,52.31831172464471,4.167826379158039,52.347301902120236
consensus,0.08,3,1.0,0.05,8.384542855552372,51.93560965805977,4.27696465221735,51.93986345018958
consensus,0.08,4,1.0,0.05,8.162108623998732,52.78130105544645,3.9650412688615115,52.91931128247454
consensus,0.08,5,1.0,0.05,8.175763399953654,51.56108306981275,3.8326854289713252,51.67218970267864
consensus,0.08,6,1.0,0.05,7.986956369855204,52.30735477087825,3.8045256716944236,52.243256310782016
consensus,0.08,7,1.0,0.05,8.535197363100526,51.43567040610779,3.759417318008676,51.41119437521071
consensus,0.08,8,1.0,0.05,8.479369152055773,52.609352353055016,3.870151757394339,52.720831700968304
consensus,0.08,9,1.0,0.05,7.886822529972759,51.94603862181833,3.6909848037046595,52.09781748778354
consensus,0.1,0,1.0,0.05,7.304580598593431,44.67440726059749,3.5902139732008944,44.75067017989199
consensus,0.1,1,1.0,0.05,7.665710362520612,44.60538496270071,3.7241894602882724,44.588833201701426
consensus,0.1,2,1.0,0.05,8.234557784716827,44.7128066839993,3.9106557192136293,44.73574167486897
consensus,0.1,3,1.0,0.05,8.06592866117963,44.429815839129034,3.990857480013064,44.43665977481763
consensus,0.1,4,1.0,0.05,7.632270382408208,45.130536530492996,3.764639829506172,45.25074115916395
consensus,0.1,5,1.0,0.05,7.8229385368402955,44.121043749498725,3.663317857822908,44.2238152233751
consensus,0.1,6,1.0,0.05,7.492562984105302,44.743631546521385,3.638311631245533,44.69214222824779
consensus,0.1,7,1.0,0.05,8.13060985922691,44.21147353497327,3.5371662130886032,44.18954192267062
consensus,0.1,8,1.0,0.05,7.7336577881200235,45.10550235870044,3.71176833704555,45.20474757079225
consensus,0.1,9,1.0,0.05,7.457047942571841,44.59217257854701,3.476983717837156,44.732606474097736
consensus,0.12,0,1.0,0.05,6.983367387032833,38.82745196843017,3.4502907197704964,38.89502983523201
consensus,0.12,1,1.0,0.05,7.359437500508472,38.81632766445408,3.5798787438023654,38.80275147480966
consensus,0.12,2,1.0,0.05,7.754063292269049,38.9518680247773,3.8107093117305553,38.96973425471479
consensus,0.12,3,1.0,0.05,7.831002163809075,38.62046662490495,3.857483166604251,38.62737260840901
consensus,0.12,4,1.0,0.05,7.264927361109042,39.20572887515974,3.6260706192182726,39.31033587026772
consensus,0.12,5,1.0,0.05,7.543483330424988,38.459252639661194,3.524098831060404,38.54962472851349
consensus,0.12,6,1.0,0.05,7.126251994937792,38.903334896415885,3.569374850563355,38.85863897859427
consensus,0.12,7,1.0,0.05,7.90118401917023,38.62867365808788,3.4813494921181958,38.60863347272585
consensus,0.12,8,1.0,0.05,7.4332000207170585,39.09725036191557,3.5852528244357234,39.186828181722106
consensus,0.12,9,1.0,0.05,7.181374550618828,38.814649261775514,3.3344564966167436,38.9397289299249
consensus,0.15,0,1.0,0.05,6.950283216918229,32.13037107841053,3.476462727648861,32.18725863399898
consensus,0.15,1,1.0,0.05,7.210184339521682,32.17904407914375,3.4636317136522274,32.16704514214158
consensus,0.15,2,1.0,0.05,7.482823316696167,32.28600567880167,3.8404801172136684,32.30261433724576
consensus,0.15,3,1.0,0.05,7.651457229104175,31.983776910509054,3.804807023751031,31.991261717864724
consensus,0.15,4,1.0,0.05,7.139085886676308,32.430077114387686,3.567998265058221,32.51860592906296
consensus,0.15,5,1.0,0.05,7.217064248291778,31.942840660357973,3.464786743362856,32.02481822206404
consensus,0.15,6,1.0,0.05,6.912755423216886,32.31439094986232,3.517846576674869,32.27670928561507
consensus,0.15,7,1.0,0.05,7.572892788363815,32.01221144053774,3.340765990479108,31.994445268056218
consensus,0.15,8,1.0,0.05,7.234711761799307,32.41003275458464,3.5991744482021804,32.48864285075273
consensus,0.15,9,1.0,0.05,6.896777352296724,32.17717763443302,3.2706948495608525,32.28466227971027
consensus,0.18,0,1.0,0.05,7.027626839605994,27.133785670063805,3.5333224604326126,27.18546039349112
consensus,0.18,1,1.0,0.05,7.257458044203696,27.18696531384395,3.55340625105908,27.17853375285022
consensus,0.18,2,1.0,0.05,7.379831608281068,27.29094635191228,3.9156694663368112,27.30525168882133
consensus,0.18,3,1.0,0.05,7.422009080701399,26.99792690124368,3.8186321552450675,27.004416992242234
consensus,0.18,4,1.0,0.05,7.250276839137871,27.38506848018308,3.6426362548799203,27.458266088012202
consensus,0.18,5,1.0,0.05,7.240912912514361,27.008540252329,3.531952103957889,27.08778466656679
